BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t2672,15532.396393979865,3326.2040345828973,-5267.022568562763,0.0,0.0,0.0,0.0,0.0,0.0,-13591.57786
t2673,20846.441557649527,400.17669774643866,-8193.049905395963,0.0,0.0,0.0,0.0,0.0,0.0,-13053.56835
t2674,19842.580438156197,439.67048249336983,-8153.556120649567,0.0,0.0,0.0,0.0,0.0,0.0,-12128.6948
t2675,19443.565420085728,494.78939152854747,-8098.437211614277,0.0,0.0,0.0,0.0,0.0,0.0,-11839.9176
t2676,18844.873111794735,488.7471506731341,-8104.479452467873,0.0,0.0,0.0,0.0,0.0,0.0,-11229.14081
t2677,18872.713824727325,492.5948542070972,-8100.631748934425,0.0,0.0,0.0,0.0,0.0,0.0,-11264.67693
t2678,19394.98472651414,468.76783831391595,-8124.458764828055,0.0,0.0,0.0,0.0,0.0,0.0,-11739.2938
t2679,20106.66456286936,474.72438013595274,-8118.5022230053155,0.0,0.0,0.0,0.0,0.0,0.0,-12462.88672
t2680,20478.56723979865,751.4677316721794,-7841.758871470831,0.0,0.0,0.0,0.0,0.0,0.0,-13388.2761
t2681,15802.136079818001,3636.828686663654,-4956.397916481655,0.0,0.0,0.0,0.0,0.0,0.0,-14482.56685
t2682,11236.620181321945,6199.531440910607,-2393.6951622325555,0.0,0.0,0.0,0.0,0.0,0.0,-15042.45646
t2683,9242.713724684221,7205.931809228233,-1387.2947939124542,0.0,0.0,0.0,0.0,0.0,0.0,-15061.35074
t2684,8639.585814102367,7147.471339519279,-1445.7552636216449,0.0,0.0,0.0,0.0,0.0,0.0,-14341.30189
t2685,8906.22861591348,6918.9069386140745,-1674.3196645275534,0.0,0.0,0.0,0.0,0.0,0.0,-14150.81589
t2686,9461.250895212039,6358.474703965197,-2234.7518991772367,0.0,0.0,0.0,0.0,0.0,0.0,-13584.9737
t2687,10231.864827346822,5748.4765028986385,-2844.7501002454637,0.0,0.0,0.0,0.0,0.0,0.0,-13135.59123
t2688,9724.485358705548,5673.279952219442,-2919.946650924991,0.0,0.0,0.0,0.0,0.0,0.0,-12477.81866
t2689,9756.996922402494,5293.153785371342,-3300.0728177738365,0.0,0.0,0.0,0.0,0.0,0.0,-11750.07789
t2690,10132.217308556967,4926.283832294392,-3666.9427708513567,0.0,0.0,0.0,0.0,0.0,0.0,-11391.55837
t2691,10000.515952909605,4837.380705117899,-3755.8458980275063,0.0,0.0,0.0,0.0,0.0,0.0,-11082.05076
t2692,10950.734516002562,4364.714473571624,-4228.512129574187,0.0,0.0,0.0,0.0,0.0,0.0,-11086.93686
t2693,11163.227964154541,4274.830114495692,-4318.396488650234,0.0,0.0,0.0,0.0,0.0,0.0,-11119.66159
t2694,10277.016114625605,4853.689004260041,-3739.537598885646,0.0,0.0,0.0,0.0,0.0,0.0,-11391.16752
t2695,11406.872127272265,4468.81213793684,-4124.414465209108,0.0,0.0,0.0,0.0,0.0,0.0,-11751.2698
t2696,16425.999294807843,1764.5224241680044,-6828.704178975847,0.0,0.0,0.0,0.0,0.0,0.0,-11361.81754
t2697,18625.006072086115,399.3492955281339,-8193.877307614246,0.0,0.0,0.0,0.0,0.0,0.0,-10830.47806
t2698,18174.988746452364,460.8204233454387,-8132.4061797978,0.0,0.0,0.0,0.0,0.0,0.0,-10503.40299
t2699,17832.219324656708,516.0564792430193,-8077.1701238997275,0.0,0.0,0.0,0.0,0.0,0.0,-10271.10568
t2700,17656.33516608291,558.0639585298773,-8035.162644612789,0.0,0.0,0.0,0.0,0.0,0.0,-10179.23648
t2701,17814.142788802837,513.9547271694726,-8079.271875972316,0.0,0.0,0.0,0.0,0.0,0.0,-10248.82564
t2702,18246.85190134735,502.258360897522,-8090.9682422448695,0.0,0.0,0.0,0.0,0.0,0.0,-10658.14202
t2703,18573.229443460208,467.0605298411881,-8126.166073301395,0.0,0.0,0.0,0.0,0.0,0.0,-10914.1239
t2704,19624.77064408671,485.1056895280951,-8108.120913614808,0.0,0.0,0.0,0.0,0.0,0.0,-12001.75542
t2705,16196.102883591488,2843.7167747764156,-5749.5098283679035,0.0,0.0,0.0,0.0,0.0,0.0,-13290.30983
t2706,11969.543697411462,5383.908127866305,-3209.3184752777697,0.0,0.0,0.0,0.0,0.0,0.0,-14144.13335
t2707,11197.135002003628,5863.739905570005,-2729.486697573635,0.0,0.0,0.0,0.0,0.0,0.0,-14331.38821
t2708,11087.373032585205,5628.495810279546,-2964.730792864751,0.0,0.0,0.0,0.0,0.0,0.0,-13751.13805
t2709,11409.150689487975,5396.926271828373,-3196.300331316349,0.0,0.0,0.0,0.0,0.0,0.0,-13609.77663
t2710,11714.742124407649,5030.997509368856,-3562.2290937765056,0.0,0.0,0.0,0.0,0.0,0.0,-13183.51054
t2711,12130.865697148249,4618.368532998584,-3974.858070146836,0.0,0.0,0.0,0.0,0.0,0.0,-12774.37616
t2712,12849.438425985154,3957.011523580358,-4636.215079565512,0.0,0.0,0.0,0.0,0.0,0.0,-12170.23487
t2713,13083.434315062921,3523.0950790413967,-5070.131524104316,0.0,0.0,0.0,0.0,0.0,0.0,-11536.39787
t2714,13263.881382811132,3268.095765167138,-5325.13083797827,0.0,0.0,0.0,0.0,0.0,0.0,-11206.84631
t2715,13911.419768992644,2811.2796070760905,-5781.946996068732,0.0,0.0,0.0,0.0,0.0,0.0,-10940.75238
t2716,13663.005790577292,2877.1463262838593,-5716.080276861153,0.0,0.0,0.0,0.0,0.0,0.0,-10824.07184
t2717,13266.037530438753,3115.664306353249,-5477.562296792001,0.0,0.0,0.0,0.0,0.0,0.0,-10904.13954
t2718,12616.571378575278,3514.322522285053,-5078.9040808603295,0.0,0.0,0.0,0.0,0.0,0.0,-11051.98982
t2719,12986.112558132309,3464.3282425065763,-5128.898360638884,0.0,0.0,0.0,0.0,0.0,0.0,-11321.54244
t2720,16610.846002210266,1496.9267504671432,-7096.2998526774045,0.0,0.0,0.0,0.0,0.0,0.0,-11011.4729
t2721,18365.15518098163,410.3928660810093,-8182.83373706264,0.0,0.0,0.0,0.0,0.0,0.0,-10592.71431
t2722,17428.57694412482,475.3082135096906,-8117.918389634513,0.0,0.0,0.0,0.0,0.0,0.0,-9785.966768
t2723,17338.7963327635,526.0748331900965,-8067.1517699535925,0.0,0.0,0.0,0.0,0.0,0.0,-9797.719396
t2724,16871.675294044457,553.3159350495184,-8039.910668093974,0.0,0.0,0.0,0.0,0.0,0.0,-9385.080561
t2725,17068.659991976674,576.1819940834359,-8017.044609060112,0.0,0.0,0.0,0.0,0.0,0.0,-9627.797377
t2726,17699.42572789734,510.2355476226754,-8082.991055520011,0.0,0.0,0.0,0.0,0.0,0.0,-10126.67022
t2727,18312.781462921168,478.75401011094505,-8114.47259303212,0.0,0.0,0.0,0.0,0.0,0.0,-10677.06288
t2728,19327.14905240825,443.70705536719834,-8149.51954777545,0.0,0.0,0.0,0.0,0.0,0.0,-11621.33656
t2729,18804.925256452076,1358.1323383458719,-7235.094264797946,0.0,0.0,0.0,0.0,0.0,0.0,-12927.96333
t2730,13465.525252897914,4650.904885123591,-3942.3217180215033,0.0,0.0,0.0,0.0,0.0,0.0,-14174.10842
t2731,12757.941841204085,5140.409665970332,-3452.8169371744184,0.0,0.0,0.0,0.0,0.0,0.0,-14445.53457
t2732,12704.16514272426,4832.245115210606,-3760.981487934865,0.0,0.0,0.0,0.0,0.0,0.0,-13775.42877
t2733,12631.101284302204,4752.4310044217245,-3840.795598723926,0.0,0.0,0.0,0.0,0.0,0.0,-13542.73669
t2734,12522.324364635417,4694.898599255179,-3898.3280038905937,0.0,0.0,0.0,0.0,0.0,0.0,-13318.89496
t2735,12289.149697568693,4560.152377788605,-4033.074225357298,0.0,0.0,0.0,0.0,0.0,0.0,-12816.22785
t2736,12147.864272342887,4260.710445401461,-4332.516157744346,0.0,0.0,0.0,0.0,0.0,0.0,-12076.05856
t2737,12201.729301468511,3940.9520708387276,-4652.274532307239,0.0,0.0,0.0,0.0,0.0,0.0,-11490.40684
t2738,12129.35937584789,3796.2758686489865,-4796.950734496876,0.0,0.0,0.0,0.0,0.0,0.0,-11128.68451
t2739,12417.039347055932,3557.102523044904,-5036.124080100837,0.0,0.0,0.0,0.0,0.0,0.0,-10938.01779
t2740,12346.451527675858,3565.6357727348786,-5027.590830410735,0.0,0.0,0.0,0.0,0.0,0.0,-10884.49647
t2741,13176.751885445845,3161.1589238497236,-5432.067679295569,0.0,0.0,0.0,0.0,0.0,0.0,-10905.84313
t2742,13499.201174074924,3120.9945395352347,-5472.23206361016,0.0,0.0,0.0,0.0,0.0,0.0,-11147.96365
t2743,13291.53426796629,3407.464087589642,-5185.762515555933,0.0,0.0,0.0,0.0,0.0,0.0,-11513.23584
t2744,16053.506762051715,1955.731900546469,-6637.494702598184,0.0,0.0,0.0,0.0,0.0,0.0,-11371.74396
t2745,18660.99932142181,420.751925860529,-8172.474677282341,0.0,0.0,0.0,0.0,0.0,0.0,-10909.27657
t2746,18405.19927113909,429.96749600193556,-8163.2591071410225,0.0,0.0,0.0,0.0,0.0,0.0,-10671.90766
t2747,18184.402097478833,496.5052078315185,-8096.721395310351,0.0,0.0,0.0,0.0,0.0,0.0,-10584.18591
t2748,17970.04375775547,524.9153926928441,-8068.311210448318,0.0,0.0,0.0,0.0,0.0,0.0,-10426.64794
t2749,18430.707077496296,519.1046578225576,-8074.121945318852,0.0,0.0,0.0,0.0,0.0,0.0,-10875.68979
t2750,18838.10587131336,493.85154091431264,-8099.375062227676,0.0,0.0,0.0,0.0,0.0,0.0,-11232.58235
t2751,19596.794046002462,402.6820885687256,-8190.544514571189,0.0,0.0,0.0,0.0,0.0,0.0,-11808.93162
t2752,19805.950827201417,684.6396479703129,-7908.586955171729,0.0,0.0,0.0,0.0,0.0,0.0,-12582.00352
t2753,14038.123616736988,1809.901020552877,-2343.544777289867,0.0,0.0,0.0,0.0,0.0,0.0,-13504.47986
t2754,10169.686582687873,4508.6057073138945,-1.7704626810792118e-9,0.0,0.0,0.0,0.0,0.0,0.0,-14678.29229
t2755,10572.08239220436,4170.85907779738,-1.7409165972182631e-9,0.0,0.0,0.0,0.0,0.0,0.0,-14742.94147
t2756,10299.277500732745,3652.341489269054,-1.8004048625738968e-9,0.0,0.0,0.0,0.0,0.0,0.0,-13951.61899
t2757,10337.399856717404,3304.5877332843747,-1.7773370193185797e-9,0.0,0.0,0.0,0.0,0.0,0.0,-13641.98759
t2758,10238.023001020389,3080.9043189813756,-1.763349558927458e-9,0.0,0.0,0.0,0.0,0.0,0.0,-13318.92732
t2759,10055.980724525067,2657.665215476673,-1.7396512989577035e-9,0.0,0.0,0.0,0.0,0.0,0.0,-12713.64594
t2760,10023.168017051397,1886.7749529502971,-1.6962187483243473e-9,0.0,0.0,0.0,0.0,0.0,0.0,-11909.94297
t2761,9773.59528638524,1448.1769436165212,-1.7595555679604307e-9,0.0,0.0,0.0,0.0,0.0,0.0,-11221.77223
t2762,9678.283829872511,1225.3223701292181,-1.7278495729070745e-9,0.0,0.0,0.0,0.0,0.0,0.0,-10903.6062
t2763,9164.597670332576,1597.7372796691523,-1.7267347544168965e-9,0.0,0.0,0.0,0.0,0.0,0.0,-10762.33495
t2764,8893.526396771213,1896.1762732305076,-1.7191212030268418e-9,0.0,0.0,0.0,0.0,0.0,0.0,-10789.70267
t2765,9156.527517771221,1850.748692230472,-1.6939570906717185e-9,0.0,0.0,0.0,0.0,0.0,0.0,-11007.27621
t2766,9588.738240821445,2208.974639180353,-1.798436470697341e-9,0.0,0.0,0.0,0.0,0.0,0.0,-11797.71288
t2767,10145.901310566736,2819.087849435049,-1.786234754626909e-9,0.0,0.0,0.0,0.0,0.0,0.0,-12964.98916
t2768,10527.49120116035,2978.129008841427,-1.7739220580058566e-9,0.0,0.0,0.0,0.0,0.0,0.0,-13505.62021
t2769,12582.429690360263,551.3371596412037,-1.4644409416999703e-9,0.0,0.0,0.0,0.0,0.0,0.0,-13133.76685
t2770,15053.16960977396,1.57528976005373e-9,-2436.3401497755176,0.0,0.0,0.0,0.0,0.0,0.0,-12616.82946
t2771,17247.965221775314,1.8531044441839354e-9,-4608.885711777185,0.0,0.0,0.0,0.0,0.0,0.0,-12639.07951
t2772,16717.383789539486,1.866236046573214e-9,-4217.333289541351,0.0,0.0,0.0,0.0,0.0,0.0,-12500.0505
t2773,15824.187499414667,1.8472832647677002e-9,-3037.629869416516,0.0,0.0,0.0,0.0,0.0,0.0,-12786.55763
t2774,14655.169177227872,1.888198915452775e-9,-1684.89360722976,0.0,0.0,0.0,0.0,0.0,0.0,-12970.27557
t2775,12781.254441481702,206.5674085198403,-1.5450575147969526e-9,0.0,0.0,0.0,0.0,0.0,0.0,-12987.82185
t2776,11614.316072441743,1812.310307560021,-1.7643295976855231e-9,0.0,0.0,0.0,0.0,0.0,0.0,-13426.62638
t2777,10789.767483972957,3602.211436028893,-1.85339823563342e-9,0.0,0.0,0.0,0.0,0.0,0.0,-14391.97892
t2778,9818.042870398096,5457.407909603838,-1.9311016039190214e-9,0.0,0.0,0.0,0.0,0.0,0.0,-15275.45078
t2779,9870.345928032988,5578.586521968937,-1.922352988257813e-9,0.0,0.0,0.0,0.0,0.0,0.0,-15448.93245
t2780,9709.673376879979,4991.381563121916,-1.890305272235139e-9,0.0,0.0,0.0,0.0,0.0,0.0,-14701.05494
t2781,9778.390565858559,4514.259444143412,-1.973853263673162e-9,0.0,0.0,0.0,0.0,0.0,0.0,-14292.65001
t2782,9784.821075380585,4127.154524621347,-1.9306425220100116e-9,0.0,0.0,0.0,0.0,0.0,0.0,-13911.9756
t2783,9411.717530989321,3625.9907290125266,-1.84693351023192e-9,0.0,0.0,0.0,0.0,0.0,0.0,-13037.70826
t2784,8865.19431945921,3459.7659105425646,-1.770816801921922e-9,0.0,0.0,0.0,0.0,0.0,0.0,-12324.96023
t2785,8295.218222752213,3220.0463772494977,-1.708370396230045e-9,0.0,0.0,0.0,0.0,0.0,0.0,-11515.2646
t2786,8240.04822633425,2842.455223667575,-1.8235041314772525e-9,0.0,0.0,0.0,0.0,0.0,0.0,-11082.50345
t2787,8164.628154288064,2682.0798557137,-1.7629319970404988e-9,0.0,0.0,0.0,0.0,0.0,0.0,-10846.70801
t2788,8336.355699664122,2457.464130337612,-1.7335007730716121e-9,0.0,0.0,0.0,0.0,0.0,0.0,-10793.81983
t2789,8611.67336437645,2434.701075625267,-1.7175799667663986e-9,0.0,0.0,0.0,0.0,0.0,0.0,-11046.37444
t2790,8622.45095810481,3088.4919718969086,-1.7179861338218268e-9,0.0,0.0,0.0,0.0,0.0,0.0,-11710.94293
t2791,8466.676464787832,4416.527865214071,-1.9129617674872786e-9,0.0,0.0,0.0,0.0,0.0,0.0,-12883.20433
t2792,10348.519159100575,2763.3723109010643,-1.6511346235890463e-9,0.0,0.0,0.0,0.0,0.0,0.0,-13111.89147
t2793,13891.433466587172,1.616443663776891e-9,-2110.0706565887863,0.0,0.0,0.0,0.0,0.0,0.0,-11781.36281
t2794,17832.052600603532,2.151707642884032e-9,-6949.3784206056835,0.0,0.0,0.0,0.0,0.0,0.0,-10882.67418
t2795,19626.520263181403,2.554788429713298e-10,-8593.22660318165,0.0,0.0,0.0,0.0,0.0,0.0,-11033.29366
t2796,19309.648073181364,2.488468142963034e-10,-8593.22660318162,0.0,0.0,0.0,0.0,0.0,0.0,-10716.42147
t2797,19473.40230318139,2.4817759738859114e-10,-8593.226603181629,0.0,0.0,0.0,0.0,0.0,0.0,-10880.1757
